,activity_nr,X.x,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt,year,X.y,citation_id,delete_flag,standard,viol_type,issuance_date,abate_date,abate_complete,current_penalty,initial_penalty,contest_date,final_order_date,nr_instances,nr_exposed,rec,gravity,emphasis,hazcat,fta_insp_nr,fta_issuance_date,fta_penalty,fta_contest_date,fta_final_order_date,hazsub1,hazsub2,hazsub3,hazsub4,hazsub5,load_dt
12,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352992,2009,,820002 D09,O,7/9/1985,7/22/1985,N,NA,NA,,,2,2,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
13,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352993,2010,,890004 F,O,7/9/1985,7/17/1985,N,NA,NA,,,2,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
14,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352994,2011,,890005 F04,O,7/9/1985,7/17/1985,N,NA,NA,,,2,2,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
15,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352995,2014,,890006 J1D,O,7/9/1985,7/22/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
16,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352996,2013,,890006 B02,O,7/9/1985,7/17/1985,N,NA,NA,,,4,3,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
17,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352997,2012,,890006 B01,O,7/9/1985,7/22/1985,N,NA,NA,,,4,2,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
18,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468725,1007,,GEN03050201,O,10/29/1985,12/11/1985,,NA,NA,,,2,2,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
19,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468726,1006,,GEN03040604,O,10/29/1985,12/11/1985,,NA,NA,,,2,2,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
20,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468727,1005,,GEN03040614,O,10/29/1985,12/11/1985,,NA,NA,,,4,5,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
21,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468728,1004,,GEN02430303,O,10/29/1985,12/11/1985,,NA,NA,,,1,3,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
22,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468729,1009,,GEN03050723,O,10/29/1985,12/11/1985,,NA,NA,,,1,2,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
23,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468730,1002,,GEN00220102,O,10/29/1985,12/11/1985,,NA,NA,,,1,5,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
24,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468731,1001,,GEN010105,O,10/29/1985,11/26/1985,,NA,NA,,,2,5,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
25,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468732,1008,,GEN03050202,O,10/29/1985,11/12/1985,,NA,NA,,,1,2,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
26,3266988,3,854910,NA,UTAH STATE PRISON,POINT OF THE MOUNTAIN FACILITY,DRAPER,UT,84020,C,0,N,S,9223,0,B,B,,B,X,,NA,,,,NA,BOX 250,DRAPER,UT,84020,,600,10/21/1985,7/27/2016,10/22/1985,7/1/2016,2016-08-05 01:04:37 EDT,2016,468733,1003,,GEN02150209,O,10/29/1985,12/11/1985,,NA,NA,,,1,3,C,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-08-05 01:05:10 EDT
27,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865807,1001,,740003 A1C    I,O,6/26/1985,7/8/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
28,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865808,1002,,780004 B5G,O,6/26/1985,6/17/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
29,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865809,1003,,790004,O,6/26/1985,7/1/1985,N,NA,NA,,,2,2,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
30,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865810,1004,,800002 B,O,6/26/1985,7/1/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
31,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865811,1005,,800004 H1,O,6/26/1985,7/1/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
32,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865812,1006,,890005 A2,O,6/26/1985,7/1/1985,N,NA,NA,,,2,2,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
33,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865813,1007,,890005 F4,O,6/26/1985,6/17/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
34,14666903,4,951510,NA,HAWAII YOUTH CORRECTIONAL FACILITY DSSH,42 477 KALANIANAOLE HWY,KAILUA,HI,96734,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,82,6/17/1985,6/3/2016,6/17/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,1865814,1008,,890006 J1D,O,6/26/1985,7/1/1985,N,NA,NA,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2016-06-30 01:11:27 EDT
35,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889747,4012,,19100304 F04,O,7/31/1984,8/28/1984,,NA,NA,,,2,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
36,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889748,1001,,19100213 C01,S,7/31/1984,8/3/1984,,NA,NA,,,1,2,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
37,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889749,4013,,19100304 F04,O,7/31/1984,8/21/1984,,NA,NA,,,5,2,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
38,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889750,4014,,19100305 A01    I,O,7/31/1984,8/31/1984,,NA,NA,,,2,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
39,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889751,4008,,19100215 A04,O,7/31/1984,8/31/1984,,NA,NA,,,3,2,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
40,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889752,4011,,19100304 A02,O,7/31/1984,8/16/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
41,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889753,4010,,19100303 G02    I,O,7/31/1984,8/31/1984,,NA,NA,,,9,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
42,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889754,4009,,19100215 B09,O,7/31/1984,8/31/1984,,NA,NA,,,2,2,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
43,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889755,1003,,19100213 C02,O,7/31/1984,8/31/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
44,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889756,1002,,19100213 B03,O,7/31/1984,8/31/1984,,NA,NA,,,3,2,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
45,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889757,4015,,09123107 A01,O,7/31/1984,8/16/1984,,NA,NA,,,1,400,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
46,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889758,4007,,19100215 A02,O,7/31/1984,8/31/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
47,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889759,4006,,19100213 H04,O,7/31/1984,8/16/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
48,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889760,4005,,19100213 H03,O,7/31/1984,8/16/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
49,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889761,4004,,19100213 C03,O,7/31/1984,8/31/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
50,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889762,4001,,19100212 B,O,7/31/1984,8/31/1984,,NA,NA,,,7,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
51,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889763,3001,,19100213 N01,S,7/31/1984,8/3/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
52,14844245,5,352420,NA,MARYLAND TRAINING SCHOOL FOR BOYS,2400 CUB HILL ROAD,PARKVILLE,MD,21234,C,0,N,S,9223,0,C,B,,B,,,NA,,,,NA,201 W PRESTON ST,BALTIMORE,MD,21201,,400,7/9/1984,,7/10/1984,NA,2011-10-14 16:38:47 EDT,NA,1889764,2001,,19100213 H01,S,7/31/1984,8/3/1984,,NA,NA,,,1,1,R,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,2011-10-14 16:45:21 EDT
